Ryans,Netis,Router,https://ryanscomputers.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/e/netis-wf2409-wf2409e-1.jpg,WF2409E, Netis WF2409E 300 Mbps Wireless N Router (3 Antenna),"Tk 1,450","BrandNetisModelNetis WF2409ENetwork standardsIEEE 802.11b, 11g, 11nData transfer rate300MbpsSecurity protocols64/128-bit WEP, WPA-PSK/WPA2-PSK (TKIP/AES) SSID Broadcast Enable/Disable Wireless MAC FilteringInterface (Built-in)1 x 10/100Mbps Auto MDI/MDIX RJ45 WAN,Antena3 x 5dBi FixedArea CoverageUp to 1200-1500 sq. ft.Warranty1 yearData Transfer Rate300Mbps to 599MbplsAntena3",https://ryanscomputers.com/netis-wf2409e-300-mbps-wireless-n-router-3-antenna.html
Ryans,TP-Link,Router,https://ryanscomputers.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/l/tl-wr840n-v2-2.jpg,TL-WR840N, TP-Link TL-WR840N V2 300Mbps Router,"Tk 1,350","BrandTP-LinkModelTL-WR840N V2Network standardsIEEE 802.11n, 11g, 11bOutdoor range400 sq. meterData transfer rate300MbpsSecurity protocolsWEP, WPA/WPA2, WPA-PSK/WPA2-PSKencryptions, MAC Filtering, SSID Control, SPI Firewall, access controlInterface (Built-in)1 x WAN port, 4 x LAN ports,Antena2 x External AntennasSupported UserUp to 20 UserArea CoverageUp to 1200-1500 sq. ft.Warranty1 yearData Transfer Rate300Mbps to 599MbplsAntena2",https://ryanscomputers.com/network/router/tp-link-tl-wr840n-v2-300mbps-router.html
Ryans,Prolink,Router,https://ryanscomputers.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/r/prn3002.jpg,PRN3002, Prolink PRN3002 300Mbps Wireless-N Broadband AP / Router (2x5dBi Antenna),"Tk 1,400","BrandProlinkModelProlink PRN3002Network standardsIEEE 802.11b,g,nData transfer rate300MbpsSecurity protocols64/ 128-bit WEP,WPA-PSK/WPA2-PSKInterface (Built-in)5 x 10/100Mbps Auto MDI / MDIX Ethernet Port (RJ45)Antena2 x Fixed 5dBi AntennaOthersButton: WPS, Reset, LED: Power, WPS, Wireless, WAN, 4 x LANWarranty1 yearData Transfer Rate300Mbps to 599MbplsAntena2",https://ryanscomputers.com/prolink-prn3002-300mbps-wireless-n-broadband-ap-router-2x5dbi-antenna.html
Ryans,Apple,Smart Watch,https://ryanscomputers.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/w/mwvf2za-01.jpg,44mm, Apple Watch Series 5 44mm Space Gray Aluminum Case with Black Sport Band #MWVF2LL/A / MWVF2ZA/A,"Tk 52,000","BrandAppleModelApple Watch Series 5Watch Dimension44 x 38 x 10.74mmRam &amp; Memory32GBDisplay Size1.73 inchDisplay TypeLTPO OLED Retina capacitive TouchscreenDisplay Resolution368 x 448Display ProtectionCeramic and sapphire crystal backMultitouchYesLoudspeakerYesMicrophoneYesBatteryBuilt-in rechargeable lithium-ion batteryBuildStainless Steel frame, all-ceramic/sapphire crystal backNFCYesGPSBuilt-in GPS, GLONASS, Galileo, and QZSSConnectivityWiFi, Bluetooth, GPSFeaturesSpace Gray Aluminum Case with Black Sport Band, 977 sq mm display area, Always-On Retina display, Electrical heart sensor (ECG app), Second-generation optical heart sensor, Fall detection, 64-bit dual-core S5 processor, Up to 2x faster than S3 processor,OS &amp; VersionwatchOS 6SensorsAccelerometer, Altimeter, Barometer, Compass, Gyroscope, Electrical heart sensor, Ambient light sensorWeight36.5gmColorSpace grayPart NoMWVF2LL/A / MWVF2ZA/AOthersSpace Gray Aluminum Case with Black Sport Band, Wi-Fi: 802.11b/g/n 2.4GHz, Bluetooth: Bluetooth 5.0, 3D Touch display, 1000 nits brightness, GPU: PowerVR, Vibration: Yes, Charging Method: Magnetic Connector, Wireless Charging, Water resistant: 50 meters,Warranty1 year",https://ryanscomputers.com/apple-watch-series-5-44mm-space-gray-aluminum-case.html
Ryans,Netis,Router,https://ryanscomputers.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/2/w21.jpg,W2, Netis W2 300Mbps Wireless N Router with 2x5dBi Antenna,"Tk 1,100","BrandNetisModelNetis W2Network standardsIEEE 802.11b,g,nData transfer rate300MbpsSecurity protocols64/128-bit WEP, WPA-PSK/WPA2-PSK (TKIP/AES)Interface (Built-in)1 x 10/100Mbps Auto MDI/MDIX RJ45 WAN port, 4 x 10/100Mbps Auto MDI/MDIX RJ45 LAN portAntena2 x 5dBi Fixed AntennaOthersFrequency Range: 2.4-2.4835GHz, Transmit Power: 20dBm(MAX), Wireless Mode: AP, Repeater, AP+WDS, WDS, Client, Multi-SSID, LED: SYS, LAN4, LAN3, LAN2, LAN1, WAN, WPS, Button: WPS/ Default, Power Supply: DC 9V/500mA (Output), Access Control: IP/MAC/FilterinWarranty1 yearData Transfer Rate300Mbps to 599MbplsAntena2",https://ryanscomputers.com/network/router/netis-w2-300mbps-wireless-n-router-with-2x5dbi-antenna.html
Ryans,Netis,Router,https://ryanscomputers.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/f/wf2411-3.jpg,WF2411, Netis WF2411 / WF2411E 150Mbps Wireless N Router with 1x5dbi Fixed Antenna,"Tk 1,050","BrandNetisModelNetis WF2411 / WF2411ENetwork standardsIEEE 802.11b, 11g, 11nData transfer rate150MbpsSecurity protocols64/128-bit WEP, WPA-PSK/WPA2-PSK (TKIP/AES), SSID Broadcast Enable/DisableInterface (Built-in)1 x 10/100M Auto MDI/MDIX RJ45 WAN, 4 x 10/100M Auto MDI/MDIX RJ45 LANAntena1 x 5dbi Fixed AntennaArea CoverageUp to 600-800 sq. ft.Warranty1 yearData Transfer Rate1500Mbps to 1799MbpsAntena1",https://ryanscomputers.com/network/router/netis-wf2411-wf2411e-150mbps-wireless-n-router-with-1x5dbi-fixed-antenna.html
Ryans,TP-Link,Router,https://ryanscomputers.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/l/tl-wr820n-03.jpg,TL-WR820N, TP-Link TL-WR820N 300Mbps Wireless N Router,"Tk 1,150","BrandTP-LinkModelTP-Link TL-WR820NNetwork standardsIEEE 802.11b,g,nData transfer rate300MbpsSecurity protocolsWEP, WPA / WPA2, WPA / WPA2-PSKFirewall protocolsSPI Firewall, IP and MAC Address BindingInterface (Built-in)1 x WAN, 2 x LANAntena2 x Fixed 5dBi Omni Directional AntennasOthersButton: WPS/Reset Button, External Power Supply: 5VDC / 0.6A, Frequency: 2.412-2.472GHz, Wireless Functions: Enable/Disable Wireless Radio, WMM, Wireless Statistics, WAN Type: Dynamic IP, Static IP, PPPoE, PPTP, L2TP, Management: Access Control, Local ManSpecialty300Mbps wireless transmission rate ideal for both bandwidth sensitive tasks and basic work, IPTV supports IGMP Proxy/Snooping, Bridge and Tag VLAN to optimize IPTV streaming, Compatible with IPv6 (Internet Protocol version 6), Guest Network provides separWarranty1 yearData Transfer Rate300Mbps to 599MbplsAntena2",https://ryanscomputers.com/tp-link-tl-wr820n-300mbps-wireless-n-router.html
Ryans,Apple,Smart Watch,https://ryanscomputers.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/q/mql42ll-01.jpg,42mm, Apple Watch Nike+ Series 3 42mm Space Gray Aluminum Case with Anthracite/Black Nike Sport Band #MQL42LL/A,"Tk 34,000","BrandAppleModelApple Watch Nike+ Series 3Watch Dimension42.5 x 36.4 x 11.4mmRam &amp; Memory8GBDisplay Size1.65""Display TypeAMOLED capacitive TouchscreenDisplay Resolution390 x 312Display ProtectionIon-X strengthened glassMultitouchYesLoudspeakerYesMicrophoneYesBatteryBuilt-in rechargeable lithium-ion batteryBuildAluminum/Composite backNFCYesGPSBuilt-in GPS, GLONASS, Galileo, and QZSSConnectivityWiFi, Bluetooth, GPSFeaturesSpace Gray Aluminum Case with Anthracite/Black Nike Sport Band, Built-in GPS, GLONASS, Galileo, and QZSS, S3 with dual-core processor, W2 Apple wireless chip, Barometric altimeter, Optical heart sensor, Accelerometer and gyroscope, Ion-X strengthened glasOS &amp; VersionwatchOS 5.0SensorsAccelerometer, Altimeter, Barometer, Compass, Gyroscope, Heart Rate, Light SensorPart NoMQL42LL/AOthersColor: Space Gray, Aluminum Case With Anthracite/Black Nike Sport Band, 3D Touch display, 1000 nits, GPU: PowerVR, Vibration: Yes, Charging Method: Magnetic Connector, Wireless Charging, Water resistant: 50 meters, Case Weight (GPS): 32.3gmWarranty1 year",https://ryanscomputers.com/apple-watch-nike-series-3-42mm-space-gray-aluminum-case-with-anthracite-black-nike-sport-band-mql42ll-a.html
Ryans,Netis,Router,https://ryanscomputers.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/e/netis-w1-03.jpg,W1, Netis W1 300Mbps Wireless N Router,"Tk 1,150","BrandNetisModelNetis W1Network standardsIEEE 802.11b,g,n, IEEE 802.3,3uData transfer rateUp to 300MbpsSecurity protocols64/128-bit WEP, WPA-PSK/WPA2-PSK (TKIP/AES)Interface (Built-in)1 x WAN, 2 x LANAntena2 x 5dBi Fixed AntennaOthersFrequency Range: 2.4-2.4835GHz, Transmit Power: 20dBm(MAX), Wireless Mode: AP, Repeater, AP+WDS, WDS, Client, Multi-SSID, LED: PWR, WLAN, LAN1-LAN4, WAN, WPS, Button: WPS, Default, Power Supply: DC 9V/500mA (Output), WAN Type: DHCP, Static IP, PPPoE, L2TPSpecialtyWireless N Router, Incredible wireless high speed up to 300Mbps, great for faster downloading, Internet calling and HD video streaming, MIMO high gain 5dBi antennas providing maximum range and stable connections, Dual operation modes- Router, Bridge (pureWarranty1 yearData Transfer Rate300Mbps to 599MbplsAntena2",https://ryanscomputers.com/netis-w1-300mbps-wireless-n-router.html
Ryans,Rapoo,Keyboard,https://ryanscomputers.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/a/rapoo-n2400-03.jpg,N2400, Rapoo N2400 USB Optical Black Keyboard with Bangla,Tk 550,BrandRapooModelRapoo N2400Keyboard TypeUSB KeyboardInterface (Built-in)WiredLanguage EnglishYesLanguage BanglaYesColorBlackOthersSpecialty: USB Optical Keyboard with BanglaWarranty2 year,https://ryanscomputers.com/accessories/keyboard/rapoo-n2400-usb-optical-black-keyboard-with-bangla.html
